programme|Keyword_programme
a1b2c3|Name
;|Semicolon
variable|Keyword_variable
b1|Name
,|COMMA
c3b3|Name
:|COLON
reel|TypeName_réel
;|Semicolon
x2|Name
,|COMMA
v9v8f4|Name
:|COLON
entier|TypeName_entier
;|Semicolon
x2|Name
,|COMMA
q9v4|Name
:|COLON
caractere|TypeName_caractere
;|Semicolon
debut|Keyword_debut
b3|Name
:=|ASSIGNMENT
-|AddOperator_minus
b3|Name
<|RelOperator_L
b4|Name
+|AddOperator_plus
c3|Name
;|Semicolon
b4|Name
:=|ASSIGNMENT
b3|Name
mod|MultOperator_mod
c3|Name
;|Semicolon
repeter|Keyword_répéter
debut|Keyword_debut
a1|Name
:=|ASSIGNMENT
a1|Name
+|AddOperator_plus
b2|Name
;|Semicolon
c1|Name
:=|ASSIGNMENT
a1|Name
*|MultOperator_mult
b2|Name
;|Semicolon
fin|Keyword_fin
jusqu'à|Keyword_jusqua
a1|Name
<>|RelOperator_NE
c2|Name
;|Semicolon
fin|Keyword_fin
.|END
